BTC,ETH,DOGE,SOL,LTC,UNI,LINK,ARB,SWAP USDC-USDC.e,SWAP USDC-USDT,SWAP USDC-DAI,XRP,BNB,AAVE,ATOM,NEAR,AVAX,OP,BTC2,ETH2,GMX,timestamp
122252877.9272579,94758651.60533635,6571071.697778227,15656452.656300034,1646416.3171916774,1324972.5780931355,8456023.029547025,6676889.945652092,86100.87437588032,1089466.6085019563,105247.01370733594,1706426.6690654107,1027506.4671675402,1019148.21449866,1219531.239227988,2200582.0396645674,1103100.722294766,948473.9079824458,17421369.13064063,13095348.291430034,2361204.478193586,2024-07-04 12:24:22.536040
122186571.4427958,94623917.33694048,6562026.717497839,15625094.04485805,1644150.4947445318,1323089.9121538636,8446435.15179661,6692602.253732916,86101.0864802067,1089436.0202777805,105247.53133678492,1705191.1018898538,1026607.3148986256,1016010.689212604,1218723.234624663,2199094.253350768,941522.1538114462,947106.5673439958,17409529.78802033,13076938.476036612,2357624.9827787336,2024-07-04 12:35:56.603368
122161343.3815428,94654857.03014198,6564054.800315399,15633543.18866881,1644671.309728947,1324479.2690118714,8445867.563048977,6695487.163578731,86101.74510231198,1089431.8078361528,105247.16082608108,1704973.382960574,1026347.6621653474,1014524.978296562,1218541.708311101,2198860.756375515,942479.4883614628,946961.1184170024,17397813.52512249,13073334.72971052,2357377.250828746,2024-07-04 12:44:10.588120
122178505.69404364,94619950.02233627,6561619.798701003,15596603.797604468,1644051.9133718668,1323218.0834159064,8441686.422537526,6695421.188314075,86102.33260823914,1089444.6399560245,105247.37450534591,1704452.0601171772,1025736.6905125139,1011568.7315455596,1218343.7695265305,2198474.5036259415,941543.8972566742,947205.426291381,17414465.273626886,13084846.50605795,2360754.496944626,2024-07-04 12:57:16.832627
